state_abbr,year,month,season,migration_observation_count,species_richness,migration_density,is_peak_migration
IL,2021,8,Summer,214161,266,0.2451,0
IL,2021,9,Fall,272524,283,0.3126,0
IL,2021,10,Fall,202798,270,0.2319,0
IL,2021,11,Fall,129593,211,0.1472,0
IL,2021,12,Winter,130233,192,0.148,0
IL,2022,1,Winter,157588,169,0.1796,0
IL,2022,2,Winter,152347,160,0.1736,0
IL,2022,3,Spring,255699,190,0.2931,0
IL,2022,4,Spring,500715,295,0.5766,0
IL,2022,5,Spring,777184,299,0.8965,1
IL,2022,6,Summer,295172,257,0.3388,0
IL,2022,7,Summer,226294,240,0.2591,0
IL,2022,8,Summer,236055,268,0.2704,0
IL,2022,9,Fall,286432,290,0.3287,0
IL,2022,10,Fall,246547,279,0.2826,0
IL,2022,11,Fall,149981,224,0.1708,0
IL,2022,12,Winter,128018,187,0.1454,0
IL,2023,1,Winter,150911,176,0.1719,0
IL,2023,2,Winter,160659,166,0.1832,0
IL,2023,3,Spring,259028,196,0.297,0
IL,2023,4,Spring,508042,290,0.5851,0
IL,2023,5,Spring,866648,300,1.0,1
IL,2023,6,Summer,320220,262,0.3678,0
IL,2023,7,Summer,258590,248,0.2965,0
IL,2023,8,Summer,250839,275,0.2875,0
IL,2023,9,Fall,295821,284,0.3396,0
IL,2023,10,Fall,264655,294,0.3035,0
IL,2023,11,Fall,170188,232,0.1942,0
IL,2023,12,Winter,150849,197,0.1718,0
IL,2024,1,Winter,171804,180,0.1961,0
IL,2024,2,Winter,198080,175,0.2265,0
IL,2024,3,Spring,310828,212,0.3569,0
IL,2024,4,Spring,562264,300,0.6478,1
IL,2024,5,Spring,845302,290,0.9753,1
IL,2024,6,Summer,313370,262,0.3599,0
IL,2024,7,Summer,268750,251,0.3082,0
IL,2024,8,Summer,268352,271,0.3078,0
IL,2024,9,Fall,346278,287,0.3979,0
IL,2024,10,Fall,272924,273,0.3131,0
IL,2024,11,Fall,168332,223,0.1921,0
IL,2024,12,Winter,153933,197,0.1754,0
IL,2025,1,Winter,2330,120,0.0,0
IL,2025,2,Winter,3214,126,0.001,0
IL,2025,3,Spring,6267,160,0.0046,0
IL,2025,4,Spring,11591,223,0.0107,0
IL,2025,5,Spring,13480,222,0.0129,0
IL,2025,6,Summer,6054,188,0.0043,0
IL,2025,7,Summer,4343,173,0.0023,0
IL,2025,8,Summer,4771,207,0.0028,0
IL,2025,9,Fall,5115,209,0.0032,0
IL,2025,10,Fall,4125,189,0.0021,0
IL,2025,11,Fall,4692,154,0.0027,0
IL,2025,12,Winter,3329,128,0.0012,0
NY,2021,1,Winter,394927,235,0.2477,0
NY,2021,2,Winter,358552,208,0.2246,0
NY,2021,3,Spring,528621,228,0.3325,0
NY,2021,4,Spring,765743,290,0.4828,0
NY,2021,5,Spring,1346602,305,0.8512,1
NY,2021,6,Summer,577965,301,0.3637,0
NY,2021,7,Summer,481173,294,0.3024,0
NY,2021,8,Summer,396461,304,0.2486,0
NY,2021,9,Fall,491669,309,0.309,0
NY,2021,10,Fall,454672,314,0.2856,0
NY,2021,11,Fall,304208,266,0.1901,0
NY,2021,12,Winter,306145,248,0.1914,0
NY,2022,1,Winter,373095,235,0.2338,0
NY,2022,2,Winter,351250,216,0.22,0
NY,2022,3,Spring,497456,225,0.3127,0
NY,2022,4,Spring,837344,297,0.5282,0
NY,2022,5,Spring,1407606,312,0.8899,1
NY,2022,6,Summer,606298,298,0.3817,0
NY,2022,7,Summer,501839,290,0.3155,0
NY,2022,8,Summer,434432,307,0.2727,0
NY,2022,9,Fall,551061,315,0.3467,0
NY,2022,10,Fall,536111,320,0.3372,0
NY,2022,11,Fall,313495,287,0.196,0
NY,2022,12,Winter,314001,250,0.1964,0
NY,2023,1,Winter,401625,233,0.2519,0
NY,2023,2,Winter,358333,226,0.2245,0
NY,2023,3,Spring,481726,228,0.3027,0
NY,2023,4,Spring,891054,307,0.5623,0
NY,2023,5,Spring,1523345,312,0.9633,1
NY,2023,6,Summer,738459,304,0.4655,0
NY,2023,7,Summer,542978,300,0.3416,0
NY,2023,8,Summer,460267,310,0.2891,0
NY,2023,9,Fall,496129,322,0.3119,0
NY,2023,10,Fall,498899,320,0.3136,0
NY,2023,11,Fall,345078,285,0.2161,0
NY,2023,12,Winter,349558,262,0.2189,0
NY,2024,1,Winter,396921,255,0.2489,0
NY,2024,2,Winter,412486,232,0.2588,0
NY,2024,3,Spring,525882,234,0.3307,0
NY,2024,4,Spring,993869,298,0.6275,1
NY,2024,5,Spring,1581274,306,1.0,1
NY,2024,6,Summer,816004,305,0.5147,0
NY,2024,7,Summer,567547,301,0.3571,0
NY,2024,8,Summer,505497,307,0.3178,0
NY,2024,9,Fall,586582,317,0.3692,0
NY,2024,10,Fall,581339,319,0.3659,0
NY,2024,11,Fall,376540,287,0.236,0
NY,2024,12,Winter,364388,254,0.2283,0
NY,2025,1,Winter,5526,178,0.0007,0
NY,2025,2,Winter,5043,174,0.0004,0
NY,2025,3,Spring,7136,189,0.0018,0
NY,2025,4,Spring,11973,225,0.0048,0
NY,2025,5,Spring,12724,226,0.0053,0
NY,2025,6,Summer,8523,233,0.0026,0
NY,2025,7,Summer,7969,227,0.0023,0
NY,2025,8,Summer,7059,230,0.0017,0
NY,2025,9,Fall,6805,232,0.0015,0
NY,2025,10,Fall,6729,225,0.0015,0
NY,2025,11,Fall,4372,196,0.0,0
NY,2025,12,Winter,4720,182,0.0002,0
